          T    Av. Cost  Ac Rate  Std Dev  R limit  Tot. Moves    Alpha
   --------    --------  -------  -------  -------  ----------    -----
     70.804      610.17   0.9984     5.53       40      178411      0.5
     35.402     610.649   0.9966     5.28       40      356822      0.5
     17.701     609.343   0.9933     5.06       40      535233      0.5
     8.8505     608.538   0.9861     5.16       40      713644      0.5
     4.4253     604.456   0.9723     5.15       40      892055      0.5
     2.2126     599.434   0.9448     5.12       40     1070466      0.9
     1.9914     597.696   0.9387     4.85       40     1248877      0.9
     1.7922     596.644   0.9333     5.07       40     1427288      0.9
      1.613     594.896   0.9235     4.96       40     1605699      0.9
     1.4517     593.768   0.9158     5.35       40     1784110      0.9
     1.3065     591.016    0.908     4.85       40     1962521      0.9
     1.1759     588.573   0.8964     4.94       40     2140932      0.9
     1.0583     585.591   0.8855     5.16       40     2319343      0.9
    0.95247     584.483   0.8747     5.37       40     2497754      0.9
    0.85722     581.528   0.8602     4.86       40     2676165      0.9
     0.7715     578.044   0.8465     5.01       40     2854576      0.9
    0.69435     574.756    0.829     5.24       40     3032987      0.9
    0.62491     569.995   0.8112     5.24       40     3211398      0.9
    0.56242     567.175   0.7924     4.71       40     3389809     0.95
     0.5343     564.364   0.7803     4.92       40     3568220     0.95
    0.50759     560.771    0.767     4.54       40     3746631     0.95
    0.48221     557.516   0.7571     4.79       40     3925042     0.95
     0.4581     556.033   0.7451     4.84       40     4103453     0.95
    0.43519     553.897   0.7351      5.1       40     4281864     0.95
    0.41343      550.75   0.7204     4.64       40     4460275     0.95
    0.39276     547.843   0.7081     4.77       40     4638686     0.95
    0.37312     544.322   0.6926     4.73       40     4817097     0.95
    0.35447     541.659   0.6783     4.84       40     4995508     0.95
    0.33674     538.664   0.6659     4.81       40     5173919     0.95
    0.31991     534.652    0.651     4.84       40     5352330     0.95
    0.30391     532.909   0.6361     4.45       40     5530741     0.95
    0.28871     527.584   0.6198     4.67       40     5709152     0.95
    0.27428     522.981   0.6004      4.5       40     5887563     0.95
    0.26057     519.559   0.5843     4.76       40     6065974     0.95
    0.24754     514.922   0.5639     4.86       40     6244385     0.95
    0.23516     511.248   0.5482     5.24       40     6422796     0.95
     0.2234     506.209   0.5287     4.46       40     6601207     0.95
    0.21223     501.292   0.5103     4.15       40     6779618     0.95
    0.20162     495.973   0.4942     3.85       40     6958029     0.95
    0.19154     492.837   0.4732     4.53       40     7136440     0.95
    0.18196     485.337   0.4518     3.92       40     7314851     0.95
    0.17286     481.565    0.435     3.85       40     7493262     0.95
    0.16422     475.956    0.408      3.7     39.8     7671673     0.95
    0.15601     470.237   0.3829     3.87    38.52     7850084     0.95
    0.14821      461.43   0.3427     4.57    36.32     8028495     0.95
     0.1408     458.328     0.31     3.69    32.79     8206906     0.95
    0.13376     450.053   0.2843     3.81    28.53     8385317     0.95
    0.12707     442.285   0.2743     4.58    24.09     8563728     0.95
    0.12072      435.13   0.2909     4.75    20.09     8742139     0.95
    0.11468     419.612   0.3016     4.11     17.1     8920550     0.95
    0.10895     414.401   0.3412     4.17    14.73     9098961     0.95
     0.1035       406.8   0.3441     3.37    13.28     9277372     0.95
   0.098325     394.086   0.3487     3.71       12     9455783     0.95
   0.093409     388.068   0.3938     3.72    10.91     9634194     0.95
   0.088739     380.764   0.3766     3.68     10.4     9812605     0.95
   0.084302     370.548   0.3915     2.98    9.744     9991016     0.95
   0.080087     363.629    0.378     4.45    9.271    10169427     0.95
   0.076082     355.589   0.4024     2.95    8.696    10347838     0.95
   0.072278     346.663   0.3854     2.54    8.369    10526249     0.95
   0.068664     338.595   0.4101     2.71    7.913    10704660     0.95
   0.065231     334.051   0.3966      2.7    7.676    10883071     0.95
   0.061969     325.461   0.3775     3.11    7.343    11061482     0.95
   0.058871     323.737    0.417     2.83    6.884    11239893     0.95
   0.055927     313.989   0.4009     3.11    6.725    11418304     0.95
   0.053131     307.694   0.3855     2.04    6.463    11596715     0.95
   0.050474     303.214   0.3701     2.15     6.11    11775126     0.95
   0.047951     296.601   0.4113     2.87    5.683    11953537     0.95
   0.045553     291.889   0.3951     1.96     5.52    12131948     0.95
   0.043276     287.211   0.3784     2.31    5.272    12310359     0.95
   0.041112     280.106   0.4313     1.92    4.947    12488770     0.95
   0.039056     275.839   0.4145     1.87    4.904    12667181     0.95
   0.037103      271.69   0.3999    0.993    4.779    12845592     0.95
   0.035248     267.273   0.3853     1.51    4.588    13024003     0.95
   0.033486     263.159   0.3716     1.56    4.337    13202414     0.95
   0.031812     259.443   0.3557     1.33     4.04    13380825     0.95
   0.030221     255.203   0.4268     1.54      3.7    13559236     0.95
    0.02871     252.926   0.4138    0.851    3.651    13737647     0.95
   0.027274     249.363   0.3967    0.881    3.555    13916058     0.95
   0.025911     245.465    0.382     1.29    3.401    14094469     0.95
   0.024615     243.131   0.3633        1    3.204    14272880     0.95
   0.023384     240.774    0.465     1.21    2.958    14451291     0.95
   0.022215     237.327   0.3333    0.859    3.032    14629702     0.95
   0.021104      234.69   0.4321    0.907    2.709    14808113     0.95
   0.020049     230.948   0.4129     1.05    2.687    14986524     0.95
   0.019047      228.79   0.3976    0.888    2.615    15164935     0.95
   0.018094      226.55    0.381    0.752    2.504    15343346     0.95
    0.01719     225.084   0.3633    0.791    2.356    15521757     0.95
    0.01633     221.872   0.3417    0.921    2.175    15700168     0.95
   0.015514      220.16   0.4942    0.583    1.961    15878579     0.95
   0.014738     218.515   0.3122     1.09    2.068    16056990     0.95
   0.014001     216.356   0.4622    0.638    1.803    16235401     0.95
   0.013301     214.829   0.4485    0.564    1.843    16413812     0.95
   0.012636     212.652   0.4256     0.42    1.859    16592223     0.95
   0.012004     212.242   0.4143    0.659    1.832    16770634     0.95
   0.011404     210.061   0.3898    0.591    1.785    16949045     0.95
   0.010834     208.533   0.3727    0.548    1.695    17127456     0.95
   0.010292     207.637   0.3593    0.388    1.581    17305867     0.95
  0.0097775      206.22   0.3408     0.41    1.454    17484278     0.95
  0.0092886     205.184   0.3253    0.316    1.309    17662689     0.95
  0.0088242     204.125   0.3103    0.671    1.159    17841100     0.95
   0.008383     203.084    0.293     0.34    1.009    18019511     0.95
  0.0079638     201.585   0.2717    0.334        1    18197922     0.95
  0.0075656     200.591   0.2513    0.306        1    18376333     0.95
  0.0071874      199.32    0.237    0.317        1    18554744     0.95
   0.006828      198.51    0.222    0.369        1    18733155     0.95
  0.0064866     197.811   0.2118    0.285        1    18911566     0.95
  0.0061623     197.152   0.1966    0.307        1    19089977     0.95
  0.0058541     196.294   0.1801    0.227        1    19268388     0.95
  0.0055614     195.674    0.173    0.164        1    19446799     0.95
  0.0052834      195.04   0.1596    0.166        1    19625210     0.95
  0.0050192     194.447   0.1484    0.254        1    19803621      0.8
  0.0040154     193.087   0.1165    0.408        1    19982032      0.8
  0.0032123     191.738  0.08744    0.287        1    20160443      0.8
  0.0025698     190.988  0.07192     0.18        1    20338854      0.8
  0.0020559     190.586  0.06356   0.0781        1    20517265      0.8
  0.0016447      190.36   0.0584   0.0416        1    20695676      0.8
  0.0013158     190.247  0.05305    0.023        1    20874087      0.8
  0.0010526     190.214  0.05194  0.00441        1    21052498      0.8
 0.00084208     190.152  0.05094   0.0147        1    21230909      0.8
 0.00067366     190.145  0.04976   0.0135        1    21409320      0.8
          0     190.136  0.04087   0.0205        1    21587731 
